ID,Stadt,Spieltag,Datum,Heimmannschaft,Gastmannschaft
12,Darmstadt,13,01.12.2023,SV Darmstadt 98,1. FC Köln
4,Leipzig,13,02.12.2023,RB Leipzig,1. FC Heidenheim 1846
5,Bochum,13,02.12.2023,VfL Bochum,VfL Wolfsburg
6,Mönchengladbach,13,02.12.2023,Borussia Mönchengladbach,TSG Hoffenheim
14,Stuttgart,13,02.12.2023,VfB Stuttgart,SV Werder Bremen
11,Mainz,13,03.12.2023,1. FSV Mainz 05,SC Freiburg 
7,Leverkusen,13,03.12.2023,Bayer 04 Leverkusen,Borussia Dortmund
17,Augsburg,13,03.12.2023,FC Augsburg,Eintracht Frankfurt
13,Sinsheim,14,08.12.2023,TSG Hoffenheim,VfL Bochum
1,Berlin,14,09.12.2023,1. FC Union Berlin,Borussia Mönchengladbach
2,Bremen,14,09.12.2023,SV Werder Bremen,FC Augsburg
3,Wolfsburg,14,09.12.2023,VfL Wolfsburg,SC Freiburg 
10,Frankfurt,14,09.12.2023,Eintracht Frankfurt,FC Bayern München 
16,Heidenheim,14,09.12.2023,1. FC Heidenheim,SV Darmstadt 98
8,Dortmund,14,09.12.2023,Borussia Dortmund,RB Leipzig 
14,Stuttgart,14,10.12.2023,VfB Stuttgart,Bayer 04 Leverkusen
9,Köln,14,10.12.2023,1. FC Köln,1. FSV Mainz 05
6,Mönchengladbach,15,15.12.2023,Borussia Mönchengladbach,SV Werder Bremen
5,Bochum,15,16.12.2023,VfL Bochum,1. FC Union Berlin
11,Mainz,15,16.12.2023,1. FSV Mainz 05,1. FC Heidenheim 1846
12,Darmstadt,15,16.12.2023,SV Darmstadt 98,VfL Wolfsburg
17,Augsburg,15,16.12.2023,FC Augsburg,Borussia Dortmund
4,Leipzig,15,16.12.2023,RB Leipzig,TSG Hoffenheim
15,Freiburg,15,17.12.2023,SC Freiburg,1. FC Köln
7,Leverkusen,15,17.12.2023,Bayer 04 Leverkusen,Eintracht Frankfurt
18,München,15,17.12.2023,FC Bayern München ,VfB Stuttgart
2,Bremen,16,19.12.2023,SV Werder Bremen,RB Leipzig 
